province,n_official_name,ori_experience,description,company_description,experience,industry,domain,title_jd,common_name,title,district,start_date,company_address,location,source,type,ori_district,end_date,salary
上海,上海广气电气有限公司,不限,岗位职责：1、参与公司产品的方案设计；2、按照公司的研发流程，进行产品的硬件设计及开发工作；3、负责公司已有产品的升级、测试等工作；4、负责产品技术资料的整理和归档工作；5、负责同芯片厂商扥供应商的对接工作，质量管控等。任职要求：1、电子信息、自动化、电子类专业，本科以上学历；2、从事电子产品软件或硬件开发2年以上工作经验，并且至少2个以上主导开发的项目产品；3、熟悉STM32或STC系列等单片机处理器的工作原理，并能熟练使用CC语言进行软件编程；4、有蓝牙BLE4.0或者WiFi模块相关设计经验和作品者优先；5、熟悉单片机UARTSPII2C等接口开发；5、熟悉电子电路的原理设计、PCB设计熟练掌握PROTEL99，AltiumDesigner10等画图软件；6、熟悉研发流程，良好的敬业精神及强烈的事业进取欲望，对产品开发、新技术应用和技术创新有浓厚的兴趣，具有较强的学习能力，对于领导安排的工作能够以积极的心态及时完成。,广气电气有限公司（英文缩写gqdq）是中国装备制造业最大的企...,不限,不限,招聘,射频工程师模拟设计应用工...,,射频工程师模拟设计应用工程师助理(上海广气电气有限公司),上海,2017-04-13,,,猎聘网,全职,不限,2017-07-02,4001-6000
上海,"北京乐畅乐享文化发展有限公司,大玩家媒体",不限,"工作职责： 1、按时、按质完成项目的研发计划：按时完成原理图制作，摆件，调试，解决存在问题，达到公司规定的标准； 2、射频技术的研发和调试,文档拟制：确保射频技术研发的功能，性能，质量和进度，使射频技术的研发符合产品定义书的要求，完成具体射频技术的研发，协调与其它部门或合作者的接口技术与关系，完成射频技术文档的填写及归档； 3、射频技术关键节点的跟踪和问题解决：参加射频技术关键节点的跟踪。负责指导对项目中具体问题的解决，并提供修改方案，参与评估导入的解决对策，总结项目出现的问题，积累技术； 4、其他部门所需要的射频技术支持； 5、跟踪新器件或功能的使用：确保手机所用新的器件能够按时、按质设计到手机硬件，不影响项目开发的周期，评估新模块的接口，与手机系统的匹配，及时与厂商合作，完成新的设计或替换工作； 6、新技术新平台可行性验证：确保新技术的引入和重要项目的成功启动，参与对新技术新平台的可行性验证。 任职要求： 1、学历：本科及以上学历； 2、专业：通信、电子、微波等相关专业； 3、工作经验：了解通信原理，有1年以上的手机射频开发经验，高级工程师有3年以上的手机射频开发经验，熟悉整个项目流程，具有一定项目工作经验，可以独立设计调试整个射频； 4、其他：掌握各种数字电路和模拟电路知识，熟悉移动通信的基本原理和相关知识；具有创新精神及团队合作精神； 5、有MTK和高通平台射频开发经验者优先。 备注：做wifi也可以 ,Boss Elsa 10k-20k 诚聘", ,不限,计软/通信/互联网/电子,招聘,高级射频工程师(互联网),大玩家媒体,高级射频工程师(互联网),徐汇区,2017-04-14,,,看准网,全职,徐汇区,2017-05-14,10000-20000
上海,全球领先的无线通讯技术产品和服务提供商,不限,"（高级）射频工程师工作职责：1、按时、按质完成项目的研发计划：按时完成原理图制作，摆件，调试，解决存在问题，达到公司规定的标准；2、射频技术的研发和调试,文档拟制：确保射频技术研发的功能，性能，质量和进度，使射频技术的研发符合产品定义书的要求，完成具体射频",,不限,互联网/移动互联网/电子商务/计算机软件/电子技术/半导体/集成电路,招聘,射频工程师,全球领先的无线通讯技术产品和服务提供商,射频工程师,上海,2017-04-12,上海,上海,智联卓聘,全职,上海,2017-04-18,25000-99999999
上海,上海天奕达电子科技有限公司,1年以上,岗位职责1、负责自研产品的射频研发，参与射频单元电路的设计；2、负责协助外研产品的射频评估；3、负责预研产品射频设计可行性评估，参与预研技术的评估；4、负责射频技术跟踪及学习；5、负责对产品开发中及产品售后的相关射频问题分析解决；6、负责提供生产所需的射频相关测试标准及内容，参与为生产提出的产品测试指标的制定；7、负责产品入网测试技术支持。任职资格1、本科以上学历，通信，无线电，微波专业；2、有PDA、手机研发经验者佳；3、熟悉射频器件及设计方法、测试，对射频模块及数字通信有深入的了解；4、具备硬件操作能力和工艺分析能力。,天奕达电子科技有限公司位于上海，地处上海中心徐汇区的漕河...,"1-3年,3-5年,5-10年,10年以上",不限,招聘,射频工程师(上海天奕达电...,,射频工程师(上海天奕达电子科技有限公司),上海,2017-04-12,,,猎聘网,全职,不限,2017-07-02,0-1
上海,"上海平联信息技术有限公司,Temolin",不限,"工作内容： 负责硬件电路相关设计方案的可行性分析和实施； 制定和建立开发流程。 完成相应产品相关文挡（如原理图、PCB板和BOM表和测试分析报告等）的拟制及评审； 射频器件的新供应商、新元器件的评估； 和生产等部门密切协作，保证整个产品的相关目标按期实现；项目量产后支持和维护生产线，解决与射频部分相关的问题；为其他部门提供所需要的射频技术支持。 具体掌握知识 1.电路系统分析，射频工程师需要负责对整个RF系统的电路进行系统分析，指导系统设计指标、分配单元模块指标、规范EMC设计原则、提出配附件功能和性能要求等等； 2.电路原理设计，包括框图设计和电路设计，这是射频工程师所必须具备的基本技能。这也是由系统设计延伸而来的，如何实现系统设计的目标，就是电路原理设计的目的，它也是器件选型评估的“前因”，因为设计电路的过程也是一个器件选型的过程。 3.器件选型与评估，要实现电路的指标要求，选择合适的器件是必不可少的，这个过程其实与电路原理设计是同时进行的。如何选择相应的器件，成本、性能、工艺要求、封装、供应商质量、货期等等，更是需要考虑的因素。 4.软件仿真。仿真软件不能让你的设计达到百分百的准确度，但总不会让设计偏离基本方向，起码它们在定性的仿真方面是准确的。所以一定要学会使用一至两种或更多种仿真软件，它的基本作用就是让你能够定性的分析你的设计，误差总是有的，但是它能增强你的信心。 5.PCBLAYOUT，原理就好比理论基础，一万个应用可以只依据一个理论，几个产品也有可能只有一个原理图。性能的差异，其实就是PCBLAYOUT的差异。符合要求的PCB，其布局与布线兼顾性能、外观、工艺、EMC等方面。所以，PCBLAYOUT也是一个非常重要的技能。 6.调试分析，这个调试和生产调试不一样。生产调试是指令性的，研发产品的调试的重点在于发现问题和解决问题。调试是一个总结和积累经验的过程，不是说通过调试来积累调试经验，而是通过调试来积累设计经验；很多问题可能在设计时没有被发现，那么通过调试发现以后，就知道以后在设计时如何规避这些问题，如何改善这些问题。调试也是一个实践理论的最有效途径。 7.测试，测试是为调试服务的，调试是为设计服务的（设计是为市场服务的）。射频工程师必须熟练使用各种射频测试仪器，不管是频谱分析仪、网络分析仪、信号源、示波器、功率计、噪声系数测试仪、综合测试仪等等。 任职要求 通信、电子、微波、计算机等相关专业本科以上学历。熟悉整个射频研究的项目流程，可以独立设计调试整个射频；掌握各种数字电路和模拟电路知识，熟悉移动通信的基本原理和相关知识；能够熟练使用射频电路仿真工具、测试仪器等相关器件；对工作耐心细致、认真负责，富有团队合作精神和创新精神。 ,Boss bobo 4k-5k 诚聘", ,不限,计软/通信/互联网/电子,招聘,无线射频工程师(通信),Temolin,无线射频工程师(通信),长宁区,2017-04-14,,,看准网,全职,长宁区,2017-05-14,4000-5000
上海,苏州某汽车零部件公司,不限,岗位职责：1） 对市面上已有产品的天线设计方案进行研究或对标；2） 天线和射频电路原理图设计及仿真；3） 对天线性能进行评估及验收测试；4） 对项目开发过程中各项活动撰写相应的技术报告；5） 分享相关的技术知识；6） 领导交办的其他工作；任职资格：1） 硕士及,,不限,汽车/摩托车（制造/维护/配件/销售/服务/租赁）,招聘,射频工程师,苏州某汽车零部件公司,射频工程师,上海,2017-04-13,上海,上海,智联卓聘,全职,上海,2017-05-06,25000-99999999
上海,上海锐来科信息技术有限公司,1年以上,"
",上海锐来科信息技术有限公司,"1-3年,3-5年,5-10年,10年以上",电子/电信,招聘,上海市射频工程师招聘,上海锐来科信息技术有限公司,上海市射频工程师招聘,上海,2017-04-14,上海市,上海市,大众人才网,全职,不限,2017-10-14,0-1
上海,深圳市超级符号文化创意有限公司,不限,1：智能抄表领域中，水、电、气表等计量设备中微功率模块及相关产品的硬件设计与研发。2：物联网领域中，透传无线模块、智能家居和无线传感等相关产品的硬件设计与研发。3：研发中料单、生产规范、产品说明书等相关技术文档的编写。4：与软件工程师协作，完成产品的调试和性能、可靠性测试。5：配合生产工程师，提供产品试产和量产过程中的相关文档和协助。岗位要求：1：电子、通信、自动控制等相关专业，了解无线通信知识及原理，具备低频、射频电子电路硬件设计与调试能力。2：熟悉PowerPads或者AliumDesigner等EDA软件，熟练使用网络分析仪、频谱仪等设备。3：熟悉物联网领域中无线通信产品工作原理，具有无线通信产品硬件设计经验者优先。,不做下一个谁，做年轻人自己的珠宝超级符号只做两件事洞察用...,不限,不限,招聘,射频工程师(深圳市超级符...,,射频工程师(深圳市超级符号文化创意有限公司),上海,2017-04-12,,,猎聘网,全职,不限,2017-07-02,13.0-14.0
上海,"上海当量电子工程有限公司,电子工程",1-3年,"设备安装，调试，维修； 能适应全国范围内短期出差； 英语4级或以上； 有驾照优先； ,Boss Carol 4k-7k 诚聘", ,1-3年,计软/通信/互联网/电子,招聘,无线射频工程师(非互联网...,电子工程,无线射频工程师(非互联网行业),宝山区,2017-04-14,,,看准网,全职,宝山区,2017-05-14,4000-7000
上海,"上海龙旗科技股份有限公司,龙旗",1-3年,"工作职责：1、按时、按质完成项目的研发计划：按时完成原理图制作，摆件，调试，解决存在问题，达到公司规定的标准；2、射频技术的研发和调试,文档拟制：确保射频技术研发的功能，性能，质量和进度，使射频技术的研发符合产品定义书的要求，完成具体射频技术的研发，协调与其它部门或合作者的接口技术与关系，完成射频技术文档的填写及归档；3、射频技术关键节点的跟踪和问题解决：参加射频技术关键节点的跟踪。负责指导对项目中具体问题的解决，并提供修改方案，参与评估导入的解决对策，总结项目出现的问题，积累技术；4、其他部门所需要的射频技术支持；5、跟踪新器件或功能的使用：确保手机所用新的器件能够按时、按质设计到手机硬件，不影响项目开发的周期，评估新模块的接口，与手机系统的匹配，及时与厂商合作，完成新的设计或替换工作；6、新技术新平台可行性验证：确保新技术的引入和重要项目的成功启动，参与对新技术新平台的可行性验证。任职资格：1、学历：本科及以上学历；2、专业：通信、电子、微波等相关专业；3、工作经验：了解通信原理，有1年以上的手机射频开发经验，高级工程师有3年以上的手机射频开发经验，熟悉整个项目流程，具有一定项目工作经验，可以独立设计调试整个射频；4、其他：掌握各种数字电路和模拟电路知识，熟悉移动通信的基本原理和相关知识；具有创新精神及团队合作精神；5、有MTK和高通平台射频开发经验者优先。",上海龙旗科技股份有限公司,1-3年,其他,招聘,射频工程师(J10361...,龙旗,射频工程师(J10361)(上海龙旗科技股份有限公司),上海,2017-04-14,北京市海淀区朱房路顺事嘉业创业园,漕宝路401号1号楼,拉勾网,全职,,2017-06-14,10000-15000
